name,actions
l1,"(1, 0, 0, 3, 3, 1)",catalog:"asd:13123" 1,('0,3,3,1')
l2,"(3, 1, 0, 0, 3, 3, 1)"
l3,"(3, 3, 1, 0, 0, 3, 3, 1)"
l1,"(1, 0, 0, 3, 3, 1)"
l2,"(3, 1, 0, 0, 3, 3, 1)"
l3,"(3, 3, 1, 0, 0, 3, 3, 1)"
l4,()
l1r,"(1, 3, 3, 1, 3, 0, 0)"
l2r,"(3, 1, 3, 3, 1, 3, 0, 0)"
l3r,()
l4r,()
l2,"(3, 1, 0, 0, 3, 3, 1)"
l3,"(3, 3, 1, 0, 0, 3, 3, 1)"
u4,()
u3,"(3, 3, 1, 0, 3, 3, 1, 3, 0)"
u2,"(3, 1, 0, 3, 3, 1, 3, 0)"
u1,"(1, 0, 3, 3, 1, 3, 0)"
pi1,"(1, 0, 3, 3, 1, 3, 0)"
pi2,"(3, 1, 0, 3, 3, 1, 3, 0)"
pi3,"(3, 3, 1, 0, 3, 3, 1, 3, 0)"
pi4,()
H1,()
H2,()
H3,()
H4,()
Ht3,()
Ht2,()
Ht1,()
t2,()
t1,()
it,()
pyr,()
pyr2,()
tri,()
trix,()
tri2,()
blo,()
pin3,()
shapa,()
shapab,()
mill,()
arch,()
arch2,()
archb,()
hinv,"(3, 3, 0, 1, 3, 3, 0, 0, 0)"
hbas,()
brig,()
l1,"(1, 0, '0,3,3,1')"
l2,"(3, 1, 0, '0,3,3,1')"
l3,"(3, 3, 1, 0, '0,3,3,1')"
l4,()
l1r,"(1, 3, 3, 1, 3, 0, 0)"
l2r,()
l3r,()
l4r,()
u4,()
u3,"(3, 3, 1, '0,3,3,1', 3, 0)"
